"","salary","Age","MP","FG","X3P","FT","DRB","AST","PTS","PER","TSpct","ORBpct","DRBpct","TRBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","OBPM","DBPM","VORP","Weight","Height","possGain","possLost","FGM","X3M","FTM","PositionC","PositionPF","PositionPG","PositionSF","PositionSG","starter1"
"Bismack Biyombo",14.88223684857,0.859727658623436,-1.1572650468195,1.22377543162212,-1.30288563998475,0.10848064299407,0.233993567338276,0.0540672212702758,1.91692261218206,2.90690105984738,0.467500499027617,0.464059272374217,0.465171034407527,0.516154909314074,0.119372319678043,0.182321556793955,0.142656300401523,0.221542269947236,-0.379880240545069,0.248896047416624,-0.501776458152398,-0.536804221878705,0.286578090952894,0.111703989580001,1.58746247818629,0.494197522332804,0.336472236621213,-0.37702857010738,-1.08641655462955,-1.44137254518068,0.25489224962879,1,0,0,0,0,0
"Boban Marjanović",15.0682735264596,1.83000075461579,-1.67704966616558,1.02961941718116,-1.30288563998475,0.0606246218164348,0.111703989580001,0.00921665510492405,1.66770682055808,2.9704144655697,0.47933495667462,0.260372893082566,0.556067587879326,0.497763586342651,0.0936356050339927,0,0.0676586484738149,0.274596832903125,2.5615673576411,0.19074012725955,-1.2131557405963,-1.1590606754954,-0.867246149423632,0.0953101798043249,3.01726382564801,2.62989356739804,0.0555698511548108,-1.04764655172915,-1.23393563418321,-1.30827477979667,0.121360857004268,1,0,0,0,0,0
"Bobby Portis",16.199062546823,0.132022836629168,0.932302055451409,1.91692261218206,0.671148893898326,0.117783035656383,0.470003629245736,0.105360515657826,2.74727091425549,2.92852352386054,0.451712359273484,0.346276236717834,0.514125956794648,0.504700030339308,0.122995512047463,0.212174519943636,0.0769610411361284,0.163818085229395,0.382717284910604,0.355950043580784,1.22585894206852,0.666224921780232,-0.723018119376566,0.189868762429337,1.38320514283462,1.10439639235144,0.442852640179785,0.442615629652565,0.646932630125941,0.488545052887378,0.121360857004268,1,0,0,0,0,1
"Bogdan Bogdanović",16.7058823158604,0.859727658623436,0.679133464455229,1.85629799036563,1.65816616083986,0.145182009844498,0.276253376628158,0.252342706006472,2.77881927199042,2.79728133483015,0.445967051417494,0.0707155247983977,0.306106339777839,0.248766656202107,0.275336236629482,0.28312625591592,0.0230652729309962,0.143234168085908,0.437188536728867,0.335436503747681,-0.196899622819295,0.79067621250357,-0.146105999188304,0.219500560035709,0.157661130724574,-0.116001347685833,0.228841572428847,0.0700500843071356,0.978850559121674,1.61987605865141,0.0923733201310151,0,0,0,0,1,0
"Bojan Bogdanović",16.7778411548842,1.5874324806177,1.07185352268345,1.96009478404727,1.54849757562414,0.287682072451781,0.269332933783584,0.146182510178081,2.94968833505258,2.81540871942271,0.469378433851817,0.125416660511455,0.28146443584091,0.254701391721922,0.163745171221019,0.135801541159062,0,0.185649346886629,0.818487299456703,0.390866308687012,0.209602824291508,0.832159976078016,-1.15570220951776,0.189868762429337,0.402769933146583,0.189098087323485,0.170345365747239,0.219076302445307,1.01573032901009,1.3536805278834,0.176930708159078,0,1,0,0,0,1
"Bol Bol",14.6039679183285,-0.838250259363189,-1.74236579045511,0.741937344729377,-1.19321705476902,0.0103627870355467,0.0953101798043249,0.0363676441708748,1.22377543162212,2.67414864942653,0.447885823992117,0.219689316446122,0.463439432243249,0.423120043346885,0.170665614065593,0.10354067894084,0.0707690708882072,0.215111379616945,-0.216466485090282,0.196710294246054,-1.31478135237401,-0.0389990589853518,-0.29033402923537,0.10354067894084,0.157661130724574,2.32479413238872,0.0689928714869514,-1.8672907514891,-1.38145471373687,-1.30827477979667,0.0923733201310151,0,1,0,0,0,0
"Bones Hyland",14.6046040795714,-1.08081853336128,-0.0548496213109299,1.45861502269952,0.780817479114052,0.154150679827258,0.204794412646013,0.230523658611832,2.40694510831829,2.73436750941958,0.443402947448557,0.0504308536268919,0.334108169326332,0.266466233301508,0.360145397559718,0.241162056816888,0.0456105112520523,0.216722983511287,0.836644383396124,0.26013212068355,-0.0952740110415943,0.292871049610217,-0.506676074305968,0.143706720666175,-1.9257636898625,-1.33639908772311,0.14595391262308,0.219076302445308,0.167495621576551,0.754740583655386,0.0625203569813339,0,0,0,0,1,0
"Bradley Beal",17.583183863332,0.617159384625346,0.122162564263635,2.27212588550934,0.451811723466873,0.362905493689368,0.296731907971699,0.476924072090309,3.18635263316264,2.91777073208428,0.431132854856742,0.121607132094787,0.27311365662349,0.24578602806397,0.488492189315343,0.197359434158495,0.0295588022415444,0.24059046491793,2.10764025915558,0.231801614057324,-0.7050276817078,0.9980950303758,-0.867246149423632,0.182321556793955,-0.373407941189779,-0.726200217704471,0.284104251103897,2.00739092010337,2.23276273532777,1.02093611442339,0.25489224962879,0,0,0,0,1,1
"Brandon Boston Jr.",14.2624489684457,-1.32338680735937,-0.81106214433529,1.25276296849537,-0.535205543474665,0.117783035656383,0.151549898127201,0.088553397341445,2.04122032885964,2.50143595173921,0.392717535285662,0.0984400728132525,0.300002556839822,0.257655603619353,0.187760047424893,0.269332933783584,0.048790164169432,0.148420005118273,0.582445208244233,0.166496515649558,-0.501776458152398,-1.0760931483465,-0.29033402923537,0.0786431273191131,-1.27214021673715,0.189098087323485,0.14595391262308,-1.27118587893641,-0.238181847196012,-0.443139304800647,0.0625203569813339,0,0,0,0,1,0
"Brandon Clarke",15.2842877242201,-0.110545437368921,-0.141297432870601,1.70474809223843,-1.19321705476902,0.126999690761308,0.255346691808845,0.113659318472521,2.43361335540045,3.20680324363393,0.506817602368452,0.39099307549963,0.399016444581631,0.438008655840636,0.191144145409134,0.241162056816888,0.151289447546226,0.118671529717499,-0.270937736908545,0.429332589514808,0.514479659624611,1.45441642969471,0.791376196117623,0.255346691808845,-0.0465962046271007,0.494197522332804,0.433635985074861,-0.526054788245552,-0.754498625633817,-1.30827477979667,0.20359895524124,0,1,0,0,0,0
