"","name","player_id","team_2021","Position","Age","Game_played","Game_started","MP","FG","FGA","FGpct","X3P","X3PA","X3Ppct","X2P","X2PA","X2Ppct","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TSpct","X3PAr","FTr","ORBpct","DRBpct","TRBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","WS","WSper48","OBPM","DBPM","BPM","VORP","salary","team_2022","Weight","Height"
"161","JaMychal Green","greenja01","DEN","PF",31,67,8,16.2,2.4,4.9,0.486,0.5,1.9,0.266,1.9,3,0.621,1.2,1.4,0.871,1.2,3,4.2,0.9,0.6,0.4,0.9,2.4,6.4,14.1,0.587,0.379,0.284,8.6,19.9,14.5,7.6,1.9,2.2,13.4,17.2,1.2,1.4,2.7,0.118,-2,0.1,-1.8,0,8200000,"OKC",227,80
"162","Jared Butler","butleja02","UTA","SG",21,42,1,8.6,1.5,3.6,0.404,0.7,2.1,0.318,0.8,1.5,0.524,0.3,0.4,0.688,0.1,1,1.1,1.5,0.4,0.2,0.8,1.1,3.8,12.1,0.509,0.583,0.106,1.6,11.8,6.8,26,2.3,2,17.3,23.1,0,0.5,0.4,0.057,-2.3,0.7,-1.6,0,1563518,"UTA",193,75
"163","Jaren Jackson Jr.","jacksja02","MEM","PF",22,78,78,27.3,5.5,13.3,0.415,1.6,5.1,0.319,3.9,8.1,0.476,3.6,4.4,0.823,1.5,4.3,5.8,1.1,0.9,2.3,1.7,3.5,16.3,17,0.535,0.387,0.333,5.7,16.9,11.2,5.8,1.6,7.4,9.9,25.4,1.7,3.7,5.4,0.121,-0.9,0.8,-0.1,1,28946605,"MEM",242,83
"164","Jarred Vanderbilt","vandeja01","MIN","PF",22,74,67,25.4,2.9,4.9,0.587,0,0.2,0.143,2.8,4.7,0.605,1.2,1.8,0.656,2.9,5.5,8.4,1.3,1.3,0.6,1,2.4,6.9,15.3,0.612,0.039,0.363,12,23.9,17.8,6.7,2.5,2.4,14.8,10.9,3.1,2.9,6,0.153,-0.8,1,0.2,1.1,4320000,"UTA",214,81
"165","Jarrett Allen","allenja01","CLE","C",23,56,56,32.3,6.6,9.7,0.677,0,0.2,0.1,6.6,9.6,0.688,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1,23,0.698,0.018,0.428,12,24.5,18.4,8.2,1.2,3.7,12.7,18.1,5.4,3,8.5,0.225,2.7,1.2,3.9,2.7,2e+07,"CLE",243,82
"166","Jarrett Culver","culveja01","MEM","SG",22,37,0,9.1,1.4,3.6,0.378,0.3,1.3,0.255,1.1,2.4,0.443,0.4,0.9,0.471,0.4,0.9,1.3,0.9,0.5,0.1,0.5,1.1,3.5,8.7,0.433,0.348,0.252,3.9,11.1,7.4,13,2.8,1.3,11.8,20.6,-0.4,0.5,0.1,0.012,-5.7,0.3,-5.4,-0.3,8109063,"MEM",195,78
"167","JaVale McGee","mcgeeja01","PHO","C",34,74,17,15.8,3.9,6.2,0.629,0,0.1,0.222,3.9,6.1,0.637,1.4,2,0.699,2.2,4.5,6.7,0.6,0.3,1.1,1.3,2.4,9.2,22.6,0.651,0.02,0.319,15.3,29.7,22.7,5.4,0.9,6.1,15.8,22.8,2.4,2.6,4.9,0.201,-0.1,0.9,0.8,0.8,5461219,"DAL",270,84
"168","Javonte Green","greenja02","CHI","SF",28,65,45,23.4,2.7,5,0.542,0.6,1.6,0.356,2.2,3.4,0.625,1.2,1.5,0.833,1.4,2.8,4.2,0.9,1,0.5,0.5,2,7.2,14,0.637,0.311,0.295,6.8,13.6,10.2,5.3,2.2,1.8,7.6,11.5,2.9,1.5,4.4,0.139,-0.6,0.7,0.1,0.8,1815677,"CHI",205,77
"169","Jaxson Hayes","hayesja02","NOP","C",21,70,28,20,3.5,5.7,0.616,0.3,0.8,0.351,3.2,4.9,0.66,2.1,2.7,0.766,1.6,2.9,4.5,0.6,0.5,0.8,0.8,2.2,9.3,18.5,0.68,0.143,0.472,8.9,16.2,12.5,4.7,1.2,3.8,10.1,16.4,3.7,1.3,5.1,0.174,0.6,-0.3,0.2,0.8,6803012,"NOP",220,83
"170","Jaylen Brown","brownja02","BOS","SF",25,66,66,33.6,8.7,18.4,0.473,2.5,7,0.358,6.2,11.4,0.544,3.7,4.8,0.758,0.8,5.3,6.1,3.5,1.1,0.3,2.7,2.5,23.6,18.9,0.574,0.381,0.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,2.3,3.4,5.8,0.124,1.9,0.1,2.1,2.2,26669643,"BOS",223,78
